Frequency Band, Training Time (s), No. of Params, PSNR (dB)
YUV-LL, 33.85, 31191, 28.63
Y-LH1, 2.25, 1021, 29.58
U-LH1, 1.92, 517, 29.62
V-LH1, 1.89, 517, 29.70
Y-HL1, 3.78, 1783, 30.29
U-HL1, 1.77, 517, 30.30
V-HL1, 1.57, 517, 30.32
Y-HH1, 2.69, 1783, 30.59
U-HH1, 1.24, 517, 30.59
V-HH1, 1.24, 517, 30.59
Y-LH2, 5.11, 4297, 31.38
U-LH2, 1.24, 517, 31.38
V-LH2, 1.80, 517, 31.40
Y-HL2, 4.91, 4297, 32.10
U-HL2, 1.80, 1021, 32.10
V-HL2, 1.79, 1021, 32.11
Y-HH2, 5.16, 4297, 32.29
U-HH2, 3.87, 2857, 32.29
V-HH2, 3.79, 2857, 32.30
